pivotal,重大な
committee,委員会
far-fetched,ありえない
corridor,廊下
-fold,〜倍・〜重
just about,"ほとんど
I’ve just about finished this book"
not possibly,"どうしても-ない
絶対有り得ない

I cannot possibly solve the problem"
articulate,"明確だ
はっきりものを言う

聡明ではっきりものを言う女の子

a bright, articulate girl"
be weary of,"うんざりしている

be weary of this monotonous lifestyle"
digest a lot of information,多くの情報を理解する
the gravity of the situation,事態の深刻さ
exile,亡命
fall heir to,"相続する


He fell heir to a large fortune after his uncle’s passing.

heir-相続者・後継者"
acid in solution,溶液中の酸
result of S Ving,"SVという結果


• It might be the result of evolution trying to kill the malaria parasite in lizards"
detect the tumor,腫瘍を検出する
amend,"修正する

amend mistakes"
hopefully,うまくいけば
sober,シラフの
"adverse
adversity","不利な
逆境

adverse weather conditions"
a shade away from ~,~ギリギリの
supplement my salary by working part-time,収入を補う
conceive,"思いつく
考える


I conceived a plan"
stroll,散策する
imperative,"必須な
命令的な

It’s imperative to act now"
deceive,"〜をだます

be deceived into doing 

だまされて〜する
thinking/believing"
exert,発揮する
intrude,立ち入る
disguise,"偽装して隠す
変装する"
drive O up the wall,"~をイライラさせる


That constant drilling noise is really driving me up the wall"
rigorous,厳格な
vigor,活力
it stands to reason that-,-なのは理にかなっている、当然だ
preconceived ideas,先入観のある考え
be preoccupied with,で頭がいっぱいだ
inherit,受け継ぐ、相続する
act on assumptions,思い込みに基づいて行動する
withdrawal,気後れ、緊張
chance 形,"偶然の


chance meeting
偶然の出会い"
a compelling reason,説得力のある理由
Only when he arrived did I call him,彼が着いて初めて私は彼に電話して
assure,保証する
affluent areas,裕福な地域
ingenious,独創的な
explicit,明確な、明らかな
"odds are SV
chance is SV","たぶんSVだろう


the odds are he will succeed"
obscure,"わかりにくい
無名の"
variable,"変数


The probability of all these variables lining up was hard to imagine"
an accute problem,深刻な問題
a grim reality,厳しい現実
the primary phase,初期段階
parallel[名],類似（物）
keep to,"従う
内緒にする(to oneself)


Keep to the rules 
Keep to yourself"
be content,"満足な


I would be content with s lower salary if I was assured of more free time"
vulgar,品のない
prey on,〜を餌食にする
presevere,耐える
"if anything,",むしろ
make A of B,B をAだと理解する
subsequent,"その後の

the rest of my life 
my subsequent life"
unspeakable,"筆舌しがたい・言語に絶する


The horrors of war are unspeakable"
get O across,"理解させる

get my message across 
grt my idea across to the whole team"
individuality,個性
the fabric of society,社会の構造
strip of,"〜を剥ぎ取る


We can never be satisfied as long as our children are stripped of their selfhood"
exploit his weakness,弱みにつけ込む
intimidate,"怖がらせる
脅す"
debilitating,生気を奪うような
hype,"誇大に宣伝をする
過大評価をする"
net(形),"正味の、純粋な

the net effect of this change"
wind up,"結局〜なる
=end up

We wound up staying home"
ward off,"防ぐ、遠ざける

ward 保護する"
regimen,養生法
longevity,"長寿
寿命

lifespan よりも抽"
chuckle at the memory,思い出し笑いをする
"contrive

contrived","工夫して作る

嘘っぽい、作り物の"
renowned,"有名な
be renowned for"
I idled away the afternoon,午後を何もせず過ごした
threatening sky,今にも雨が降りそうな空
gloomy,"薄暗い
陰気な"
fetch the children,子供を迎えに行く
crude,"粗末な
加工されてない

a clude rope bridge 
clude oil 原油"
plight,窮状、苦境
solemn,"厳粛な
荘厳な"
superficial,表面的な
density,濃度、密度
outlook,"見通し
見解

the outlook for the economy is improving"
consistent,"矛盾のない

be consistent with your words"
universal,普遍的な
"mock
形・動","模擬の

真似て揶揄う
ばかにする"
preliminary,"予備の、事前の

preliminary round"
my version of the episode,その話についての私の解釈
indegenous,"固有の

a people indigenous to Australia 
people->民族"
soar,"急騰する
舞い上がる

Gold prices have soared in the last few years"
ample,豊富な
"on a daily basis
day-to-day",日常的に
injection,注射
arbitrary,独断の、勝手な
spend money recklessly,散財する
be vulnerable to X,Xに弱い
ubiquitous,"遍在する
どこにでもある"
astatic,不安定な
bear fruit,"実を結ぶ


Your effort wii bear fruit someday"
accommodation,"宿泊施設

accommodate 収容する"
exterior and interior,屋外と屋内
congest,"詰まる、密集する

Traffic congestion
交通渋滞"
sneeze,くしゃみをする
feasible,"実現可能な


a feasible plan"
fraction,"少量・端数

a fraction of"
S dawn on me,"Sが私に分かり始める

The truth dawned on me"
equip,"備え付ける
身につけさせる

equip my son with good education 
equipment  装備品"
expire,失効する、期限が切れる
be close to ing,〜しそうだ
"inherit 

inherent","受け継ぐ

元々備わっている・固有の"
retrieve,回収する
displace,"取って代わる
追い出す

Natural gas has displaced coal"
bond,"絆
国債"
ornament,飾り
certificate,証明書
intersection,交差点
excursion,遠足
while you are at it,ついでに
itinerary,旅程
juvenile,"青少年の

※法律の文脈"
dwell on,"くどくど考える

dwell on the past"
precede,"先行する

preceding 先の
precedent 先例"
temper,機嫌
premise,"前提

敷地
premise”s”"
ritual,"名　儀式
形　儀式的な"
worship,"崇拝
崇拝する
お参りする"
confess,"白状する
認める

confess my ignorance"
eloquent,雄弁な
riddle,なぞなぞ
portray,"描く

portray the character as a hero"
"plot
筋以外に",陰謀
proir to X,Xより先の
recollect,"思い出す、記憶する


recollection 記憶、可算

a vague recollection of meeting her"
clarify “the point “,要点を明らかにする
unprecedented,"かつてない
前例のない"
ornamental plants,観葉植物
morning ritual,朝の習慣
oral tradition,口承
compassion,同情、いたわり
console,慰める
plead,"懇願する

plead with him to stay"
yearn,切望する
utter 動,発する
lament,"深く悲しむ

lament the death of comrade Stalin"
resent,憤慨する
frown,"眉をひそめる

frown on his behavior"
blush,"赤面する
赤面"
dismay,"狼狽させる

be dismayed at the cost of the repair"
be bewildered,当惑する
perplex,困惑させる
disgust,むかつかせる
startle,驚かせる
dread,"恐れる

dread going to the dentist"
