衣食住,"food, clothing and shelter"
要約する,summarize
門限,"curfew

set a curfew"
"少しも恐れがなかった
He felt () () () of fear.",He felt not a particle of fear
顕微鏡で微生物を見る,look at microbes under a microscope
〇〇への偏見,a bias against ~
名門校,a prestigious school
〇〇で喉が詰まる,choke on ~
自己主張が強い,assertive
反抗的な／従順な,defiant/obedient
委託する,outsource
教育へのAIの導入に賛成/反対だ,I’m for/against the introduction of AI into education.
過去の経験/失敗を活かす,"draw on past experiences/failures
(learn from)"
入院する/退院する,be hospitalized / be discharged from the hospital
地球の生命を支える,sustain life on earth
"A とBを混同する
Bであると取り違える",confuse A with B
固定観念を捨てる,throw away stereotype”s”
父は50代後半だ,"My father is in his late fifties
(early/mid-)"
2000円,two thousand yen
裕福な家庭,wealthy family
曖昧な返事,an ambiguous reply
懐疑的な,skeptical
伝統的な考えに固執する,cling to traditional ideas
電気自動車,electric car
電子機器,electronic devices
電気工学,electrical engineering
分別のある,sensible
義務の,"mandatory 
<-> 
voluntary"
育児休暇を取る,"take childcare leave (中立)

maternity leave (母)
paternity leave (父)"
避難訓練,evacuation drill
"There’s no sense () doing 
しても無駄だ",in
〜することに重点を置く,put an emphasis on doing
気持ちを言葉にする,put my feelings into words
言葉では伝えられないこと,what cannot be conveyed in words
1990年代後半,the late 1990’s
有能な,competent
夢を追う,pursue (chase) my dream
不器用な、ぎこちない,"clumsy 

I’m clumsy with my hands"
運転免許,driver’s license
音楽の才能のある子供たち,talented/endowed children in music
彼らを怒らせるようなことを言う,"say something that would offend them

upset/make them angry"
大学に受かる,"get into college 
be accepted into university"
()と書かれた看板,a sign saying/reading ()
睡眠を摂る,get sleep
良心に訴える,appeal to conscience
次々と,one after another
大観衆、大勢の聴衆,"a large audience

a large population
a small crowd"
